id;sku;elso_datum;hianyzo_napok;statusz
32025;D-201578;2026-08-05;9;HIANYZIK
32027;D-202630;2026-08-05;9;HIANYZIK
32086;D-209330;2026-08-05;9;HIANYZIK
32116;D-210566;2026-08-05;9;HIANYZIK
32150;D-212495;2026-08-05;9;HIANYZIK
32155;D-212497;2026-08-05;9;HIANYZIK
32167;D-213001;2026-08-05;9;HIANYZIK
32204;D-213831;2026-08-05;9;HIANYZIK
32223;D-215342;2026-08-05;9;HIANYZIK
32229;D-215893;2026-08-05;9;HIANYZIK
32245;D-216304;2026-08-05;9;HIANYZIK
32262;D-218001;2026-08-05;9;HIANYZIK
32273;D-218007;2026-08-05;9;HIANYZIK
32284;D-218384;2026-08-05;9;HIANYZIK
32371;D-220376;2026-08-05;9;HIANYZIK
32444;D-221968;2026-08-05;9;HIANYZIK
32449;D-222113;2026-08-05;9;HIANYZIK
32455;D-222334;2026-08-05;9;HIANYZIK
32476;D-222805;2026-08-05;9;HIANYZIK
32494;D-222944;2026-08-05;9;HIANYZIK
32499;D-223344;2026-08-05;9;HIANYZIK
32571;D-227050;2026-08-05;9;HIANYZIK
32581;D-227177;2026-08-05;9;HIANYZIK
32595;D-227397;2026-08-05;9;HIANYZIK
32599;D-227496;2026-08-05;9;HIANYZIK
32600;D-227502;2026-08-05;9;HIANYZIK
32602;D-227581;2026-08-05;9;HIANYZIK
32606;D-227585;2026-08-05;9;HIANYZIK
32688;D-228374;2026-08-05;9;HIANYZIK
32715;D-7908 BLACK;2026-08-05;9;HIANYZIK
32737;PD2961-00;2026-08-05;9;HIANYZIK
32741;PD3262-23;2026-08-05;9;HIANYZIK
32753;PD3882-24;2026-08-05;9;HIANYZIK
32789;PD4556-23;2026-08-05;9;HIANYZIK
32807;9750 WHITE;2026-08-05;9;HIANYZIK
32808;D-194437;2026-08-05;9;HIANYZIK
32819;D-201615;2026-08-05;9;HIANYZIK
32843;D-207771;2026-08-05;9;HIANYZIK
32861;D-210532;2026-08-05;9;HIANYZIK
32878;D-212494;2026-08-05;9;HIANYZIK
32887;D-213833;2026-08-05;9;HIANYZIK
32891;D-215314;2026-08-05;9;HIANYZIK
32907;D-217902;2026-08-05;9;HIANYZIK
32925;D-219400;2026-08-05;9;HIANYZIK
32929;D-219963;2026-08-05;9;HIANYZIK
32935;D-220348;2026-08-05;9;HIANYZIK
32936;D-220412;2026-08-05;9;HIANYZIK
32959;D-222110;2026-08-05;9;HIANYZIK
32961;D-222279;2026-08-05;9;HIANYZIK
32976;D-222943;2026-08-05;9;HIANYZIK
32979;D-223129;2026-08-05;9;HIANYZIK
32997;D-223951;2026-08-05;9;HIANYZIK
33016;D-227337;2026-08-05;9;HIANYZIK
33017;D-227342;2026-08-05;9;HIANYZIK
33019;D-227347;2026-08-05;9;HIANYZIK
33020;D-227411;2026-08-05;9;HIANYZIK
33021;D-227483;2026-08-05;9;HIANYZIK
33023;D-227547;2026-08-05;9;HIANYZIK
33024;D-227582;2026-08-05;9;HIANYZIK
33028;D-227706;2026-08-05;9;HIANYZIK
33029;D-227725;2026-08-05;9;HIANYZIK
33048;D-228537;2026-08-05;9;HIANYZIK
33054;D23-194049;2026-08-05;9;HIANYZIK
33086;6906 BLACK;2026-08-05;9;HIANYZIK
33091;D-195884;2026-08-05;9;HIANYZIK
33112;D-202660;2026-08-05;9;HIANYZIK
33135;D-210520;2026-08-05;9;HIANYZIK
33140;D-212412;2026-08-05;9;HIANYZIK
33148;D-213767;2026-08-05;9;HIANYZIK
33157;D-218002;2026-08-05;9;HIANYZIK
33159;D-218221;2026-08-05;9;HIANYZIK
33180;D-220350;2026-08-05;9;HIANYZIK
33182;D-220496;2026-08-05;9;HIANYZIK
33183;D-220653;2026-08-05;9;HIANYZIK
33186;D-220766;2026-08-05;9;HIANYZIK
33196;D-222111;2026-08-05;9;HIANYZIK
33212;D-223122;2026-08-05;9;HIANYZIK
33213;D-223840;2026-08-05;9;HIANYZIK
33214;D-224014;2026-08-05;9;HIANYZIK
33231;D-226987;2026-08-05;9;HIANYZIK
33233;D-227026;2026-08-05;9;HIANYZIK
33261;D-227474;2026-08-05;9;HIANYZIK
33262;D-227493;2026-08-05;9;HIANYZIK
33263;D-227507;2026-08-05;9;HIANYZIK
33264;D-227514;2026-08-05;9;HIANYZIK
