id;sku;dealer_price;available_stock
31986;1001Q;3.31;8
31987;6261 BLACK;4.90;23
31988;D-194499;5.89;35
31989;D-194904;3.60;50
31990;D-194989;6.33;32
31991;D-195036;72.41;3
32001;D-196286;4.79;50
32020;D-197310;9.26;8
32025;D-201578;;0
32027;D-202630;;0
32028;D-203252;4.14;17
32032;D-205181;3.16;0
32045;D-205359;10.29;6
32048;D-205369;22.47;0
32052;D-205390;6.65;4
32054;D-205405;26.11;4
32055;D-205415;31.45;0
32058;D-205432;13.91;0
32060;D-207029;5.00;5
32075;D-208342;14.60;8
32076;D-208377;22.66;0
32086;D-209330;;0
32111;D-210378;4.59;34
32114;D-210533;7.00;4
32116;D-210566;;0
32118;D-210567;2.63;15
32123;D-210600;10.99;6
32126;D-210628;9.43;2
32135;D-211179;15.86;50
32139;D-211729;1.67;50
32150;D-212495;;0
32155;D-212497;;0
32165;D-212651;10.99;3
32167;D-213001;;0
32168;D-213223;5.06;0
32170;D-213463;8.93;45
32189;D-213785;12.89;4
32196;D-213812;35.92;10
32204;D-213831;;0
32223;D-215342;;0
32224;D-215770;3.85;2
32229;D-215893;;0
32235;D-216115;7.14;0
32237;D-216226;6.62;28
32240;D-216227;6.62;2
32241;D-216242;6.99;0
32245;D-216304;;0
32250;D-216367;7.14;0
32253;D-216368;7.14;0
32262;D-218001;;0
32273;D-218007;;0
32284;D-218384;;0
32287;D-218508;23.61;4
32296;D-218999;4.62;1
32298;D-219177;6.69;0
32300;D-219186;28.72;14
32320;D-219353;4.03;9
32323;D-219423;23.40;1
32326;D-219430;20.46;3
32327;D-219453;11.19;11
32341;D-220006;14.24;0
32371;D-220376;;0
32375;D-220528;19.48;0
32387;D-220599;9.10;10
32392;D-220666;8.61;6
32408;D-220775;9.12;5
32417;D-221039;7.14;6
32428;D-221726;7.98;0
32437;D-221851;8.08;1
32444;D-221968;;0
32445;D-221986;6.32;0
32446;D-221993;6.83;17
32449;D-222113;;0
32451;D-222223;9.09;0
32452;D-222289;7.14;2
32455;D-222334;;0
32457;D-222396;7.23;0
32476;D-222805;;0
32477;D-222830;17.96;0
32484;D-222871;49.22;0
32488;D-222917;10.79;1
32494;D-222944;;0
32499;D-223344;;0
32520;D-223812;4.75;0
32523;D-223842;4.34;43
32525;D-223914;7.09;6
32526;D-223954;3.11;0
32527;D-223955;2.80;4
32530;D-224976;33.08;0
32532;D-225240;3.43;34
32533;D-225247;5.14;50
32549;D-225561;7.14;6
32551;D-225566;7.14;1
32570;D-227045;1.11;50
32571;D-227050;;0
32581;D-227177;;0
32586;D-227348;5.94;7
32595;D-227397;;0
32599;D-227496;;0
32600;D-227502;;0
32602;D-227581;;0
32606;D-227585;;0
32608;D-228005;13.39;5
32688;D-228374;;0
32693;D-228561;38.75;6
32707;D-228665;7.14;1
32710;D-228671;7.14;4
32713;D-228677;7.14;5
32715;D-7908 BLACK;;0
32717;D12-201193;11.51;17
32722;D15003;12.36;8
32729;D62-41120;3.68;6
32733;PD2948-00;10.88;3
32737;PD2961-00;;0
32741;PD3262-23;;0
32744;PD3367-23;13.60;0
32745;PD3374-21;16.32;50
32753;PD3882-24;;0
32774;PD4421-23;19.04;12
32789;PD4556-23;;0
32803;1063 BLACK;6.65;2
32804;1905Q BLACK;3.63;13
32805;1912 BLACK;4.55;5
32806;9031 BLACK;2.45;8
32807;9750 WHITE;;0
32808;D-194437;;0
32809;D-195037;72.41;0
32813;D-195378;8.43;12
32814;D-196500;6.00;6
32819;D-201615;;0
32820;D-201758;11.29;50
32821;D-201776;3.53;16
32823;D-202932;6.07;30
32824;D-202998;16.71;0
32825;D-203251;4.14;10
32827;D-203254;4.44;5
32829;D-205306;3.42;0
32830;D-205393;8.63;10
32831;D-205394;5.57;0
32832;D-205406;19.15;0
32833;D-205411;12.06;8
32834;D-205448;93.60;50
32843;D-207771;;0
32850;D-209292;4.99;11
32852;D-209293;2.83;17
32853;D-210071;8.51;2
32854;D-210109;5.00;7
32860;D-210247;4.76;5
32861;D-210532;;0
32863;D-210556;3.85;9
32864;D-210561;3.50;8
32865;D-210564;2.63;0
32866;D-210603;10.99;2
32867;D-210634;10.99;5
32869;D-211032;16.56;2
32871;D-211169;15.06;0
32872;D-211398;3.89;11
32878;D-212494;;0
32882;D-213324;5.06;4
32886;D-213770;22.09;2
32887;D-213833;;0
32889;D-213987;5.38;50
32891;D-215314;;0
32892;D-215645;24.79;9
32893;D-215775;11.65;2
32894;D-215784;7.75;30
32898;D-216109;9.06;19
32900;D-216237;7.55;2
32901;D-216238;7.36;2
32902;D-216249;2.86;0
32905;D-216606;6.43;11
32906;D-216614;14.34;50
32907;D-217902;;0
32917;D-218509;23.61;0
32918;D-218540;2.96;12
32920;D-218756;2.91;50
32923;D-219370;7.57;30
32924;D-219383;3.16;1
32925;D-219400;;0
32926;D-219433;18.55;0
32927;D-219454;9.20;17
32929;D-219963;;0
32935;D-220348;;0
32936;D-220412;;0
32939;D-220532;2.97;19
32940;D-220536;5.94;0
32941;D-220596;9.10;7
32944;D-220770;8.22;1
32945;D-220779;11.25;0
32946;D-221652;74.10;2
32947;D-221679;6.70;0
32949;D-221761;8.79;12
32952;D-221856;9.17;0
32953;D-221930;7.93;0
32956;D-221970;4.50;2
32957;D-221990;1.17;5
32959;D-222110;;0
32960;D-222211;7.66;36
32961;D-222279;;0
32962;D-222305;7.14;2
32963;D-222308;7.14;4
32964;D-222319;7.14;9
32965;D-222323;7.14;0
32966;D-222328;7.14;1
32971;D-222808;9.53;2
32972;D-222839;43.40;0
32974;D-222873;57.71;1
32975;D-222929;10.15;0
32976;D-222943;;0
32977;D-222960;10.99;2
32978;D-222965;14.18;1
32979;D-223129;;0
32986;D-223211;3.06;11
32987;D-223223;4.29;7
32988;D-223321;24.79;16
32996;D-223947;8.27;0
32997;D-223951;;0
32999;D-224154;5.41;39
33000;D-224167;4.40;8
33001;D-224958;20.98;2
33005;D-225478;15.50;10
33011;D-226882;7.06;5
33013;D-227042;1.05;50
33015;D-227159;17.50;13
33016;D-227337;;0
33017;D-227342;;0
33019;D-227347;;0
33020;D-227411;;0
33021;D-227483;;0
33022;D-227497;5.42;1
33023;D-227547;;0
33024;D-227582;;0
33025;D-227592;26.70;20
33028;D-227706;;0
33029;D-227725;;0
33043;D-228346;3.29;34
33044;D-228433;5.58;13
33048;D-228537;;0
33051;D-228674;7.14;3
33054;D23-194049;;0
33057;D66-149109LL;2.30;0
33058;D81131;35.98;0
33060;PD2154-23;18.02;27
33061;PD2165-23;27.63;7
33062;PD2183-23;18.37;6
33063;PD2185-01;21.76;50
33066;PD3373-21;14.29;23
33067;PD3462-23;8.85;13
33069;PD3855-01;8.16;50
33070;PD3984-23;13.60;15
33072;PD4116-21;9.52;16
33073;PD4117-21;10.88;16
33074;PD4120-21;12.24;20
33076;PD4453-23;5.44;45
33077;PD4465-23;10.21;32
33081;RD 239;10.73;2
33082;SR1044;27.84;3
33084;1901Q BLACK;3.88;23
33086;6906 BLACK;;0
33087;9023 BLACK;3.50;25
33089;D-194283;6.68;50
33091;D-195884;;0
33092;D-195931;4.98;5
33093;D-195947;13.95;21
33094;D-196979;12.96;0
33095;D-197302;9.26;1
33100;D-199369;5.74;50
33104;D-201405;6.86;27
