id;sku;available_stock
32523;D-223842;41
32525;D-223914;4
32920;D-218756;43
32960;D-222211;33
32987;D-223223;3
33067;PD3462-23;9
33072;PD4116-21;13
33074;PD4120-21;18
33089;D-194283;45
33332;D-201837;34
33337;D-203010;27
33374;D-215809;22
33561;D33-194147;38
33761;PD3800-00;23
33762;PD3801-26;2
33943;D-197718;12
33954;D-202560;23
33956;D-202915;20
33965;D-207033;18
34036;D-225238;30
34085;PD2177-00;10
34090;PD3366-23;14
34091;PD3367-21;0
34133;D-212777;0
34140;D-215643;16
34281;D-218631;20
34432;D-222244;14
34481;PD3925-01;15
34638;D-211115;29
34761;D-207425;11
34771;D-212423;8
34842;D62-10100;11
34981;D-218453;3
35082;D-224133;4
35147;D-215814;0
35172;D-227339;31
35248;1000 BLACK;12
35347;D-224131;16
35748;D-225852;22
35767;D15-80020;33
35772;1062 BLACK;10
35793;D-216373;17
36025;D-197611;23
36037;D-211748;48
36055;D15601;22
36064;D-214787;6
36084;D14831;49
36115;D-228444;4
36129;D-212416;42
36137;D-221575;45
36182;D61-TE01CAR;12
36381;D-199454;16
36413;D-201484;23
36491;D-202944;25
36495;D-203258;14
36781;D-214615;32
37125;D-220347;45
37222;D-221170;0
37243;D-221199;40
37264;D-221237;17
37311;D-221824;27
37353;D-222557;46
37387;D-223034;35
37388;D-223035;33
37542;D-225311;17
37649;D-225613;46
37709;D-226733;49
37814;D-227216;43
37923;D-227464;20
37966;D-227640;22
38099;D62-11030;30
38108;D62-53030;2
38128;PD3386-00;48
45098;D-201723;1
45227;PD5510-21;1
45527;D-199228;11
45631;D-214852;39
45845;D-219326;15
46141;D-211792;11
46290;PD2191-23;5
46638;PD5819-12;17
46704;D-203241;4
47111;D-221988;12
47176;D-214856;24
47226;PD5905-23;43
47448;D-219242;35
47889;PD3925-02;2
48226;PD2162-23;8
48441;D-228854;43
48648;D-212562;7
49002;D-228880;10
52633;D-227830;2
54249;D-203546;3
54868;D-220594;2
60499;9014 WHITE;2
61023;D-229780;3
61153;D-229264;15
62071;D-227158;3
62866;PD5508-21;6
63032;D-222810;6
63458;D-230685;5
63584;D-230679;28
63612;D-230499;22
63837;PD4633-23;46
63921;D-211761;19
63959;D-197837;40
64034;D-218771;10
64654;D-229935;37
64660;D-230691;17
65257;D-229294;9
65479;D-229790;5
66749;D-230658;2
66753;D-230433;17
66761;D-230680;19
67147;D-230896;3
83249;D-231074;13
83409;D-231809;9
84095;PD3853-00;18
84300;D-218741;0
84319;D-205214;8
84578;D-199985;17
84653;D-230443;41
85981;D-232145;49
91212;D-232877;0
91464;D-231299;21
91479;D-232677;48
92412;D-223948;11
92874;D-228500;0
93095;D-229175;2
98687;D-229928;29
98949;D-234353;36
100325;D-236363;1
103336;D-236498;8
103360;PD5534-21;4
103484;D-236521;0
103816;D-202794;40
104688;D-237880;39
105003;D-235606;10
107054;D-238759;19
107076;D-238757;20
107261;D-238756;20
107365;D-214854;50
108032;D-239412;1
108394;D-239299;2
108886;D-239283;1
109594;D-237586;11
109907;D-238148;3
110587;D-239754;8
110981;D-238763;38
110989;D-239891;5
111434;D-240791;32
111519;D-240853;24
113510;D-240880;18
113671;D-240895;25
114505;D-241699;18
115183;D-241328;14
115287;D-241387;8
115500;D-241319;0
117568;D-242587;12
118147;D-242629;48
119013;D-242714;36
119291;D-242445;50
119757;D-243070;3
120934;D-244055;15
121136;D-242921;17
121419;D-242907;29
122017;D-241264;34
123958;D-244391;49
124064;D-243854;50
124184;D-244494;3
124263;D-244534;9
124284;D-244532;1
124752;D-244523;3
124759;D-244525;31
125595;D-235762;8
125644;D-230445;12
125652;D-237701;30
125747;D-244853;10
125975;D-243857;31
126469;D-244936;4
127320;D-244993;2
127861;D-244272;30
127910;D-244262;17
128000;D-244222;2
128012;D-244307;2
128076;D-244297;16
128096;D-244249;32
128328;D-244267;17
128336;D-244269;48
129038;D-242433;41
129228;D-245126;32
129644;D-245075;2
129922;D-245354;3
129941;D-245191;21
130275;D-245185;50
130950;D-245367;3
131064;D-245716;2
131830;D-245679;5
131858;D-245697;20
132278;D-245890;10
132339;D-245874;23
133952;D-246096;17
133989;D-246101;11
134053;D-246109;11
134072;D-246115;13
134082;D-246116;11
